18:44:05 | INFO | main | Loaded session from C:\Users\Yafit\playwright-stepper-framework\poms\artifacts\storage_state.json
18:44:05 | INFO | stepper.runner.step_runner | ▶ Step 1: Ensure user is logged in
18:44:16 | INFO | sites.openlibrary.pages.login_action | ol_ensure_login — session expired, logging in as shammaihamilton@gmail.com
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'label': 'Username'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'placeholder': 'Username'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'id': 'username'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'css': '#username'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'label': 'Password'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
18:44:34 | WARNING | stepper.resolvers.element_resolver | Visual AI disabled — returning not-found
18:44:34 | WARNING | poms.shared.base_page | Resolver could not find element for fill: {'placeholder': 'Password'}
18:44:34 | WARNING | stepper.resolvers.element_resolver | Deterministic cascade failed → visual AI fallback
